"Time","all-in-one"
2024-02-27 01:01:00,24731648
2024-02-27 01:01:30,33120256
2024-02-27 01:02:00,35262464
2024-02-27 01:02:30,65531904
2024-02-27 01:03:00,65605632
2024-02-27 01:03:30,114462720
2024-02-27 01:04:00,115265536
2024-02-27 01:04:30,151003136
2024-02-27 01:05:00,173674496
2024-02-27 01:05:30,199487488
2024-02-27 01:06:00,201498624
2024-02-27 01:06:30,219971584
2024-02-27 01:07:00,219975680
2024-02-27 01:07:30,212672512
2024-02-27 01:08:00,224337920
2024-02-27 01:08:30,230629376
2024-02-27 01:09:00,230633472
2024-02-27 01:09:30,224342016
2024-02-27 01:10:00,224342016
2024-02-27 01:10:30,239022080
2024-02-27 01:11:00,234827776
