"Time","Total Cost"
2024-02-27 01:24:00,68.74
2024-02-27 01:24:15,93.93
2024-02-27 01:24:30,93.93
2024-02-27 01:24:45,93.93
2024-02-27 01:25:00,93.93
2024-02-27 01:25:15,147.10
2024-02-27 01:25:30,147.10
2024-02-27 01:25:45,147.10
2024-02-27 01:26:00,147.10
2024-02-27 01:26:15,185.83
2024-02-27 01:26:30,185.83
2024-02-27 01:26:45,185.83
2024-02-27 01:27:00,185.83
2024-02-27 01:27:15,191.00
2024-02-27 01:27:30,191.00
2024-02-27 01:27:45,191.00
2024-02-27 01:28:00,191.00
2024-02-27 01:28:15,191.33
2024-02-27 01:28:30,191.33
2024-02-27 01:28:45,191.33
2024-02-27 01:29:00,191.33
2024-02-27 01:29:15,195.79
2024-02-27 01:29:30,195.79
2024-02-27 01:29:45,195.79
2024-02-27 01:30:00,195.79
2024-02-27 01:30:15,195.63
2024-02-27 01:30:30,195.63
2024-02-27 01:30:45,195.63
2024-02-27 01:31:00,195.63
2024-02-27 01:31:15,217.41
2024-02-27 01:31:30,217.41
2024-02-27 01:31:45,217.41
2024-02-27 01:32:00,217.41
2024-02-27 01:32:15,226.61
2024-02-27 01:32:30,226.61
2024-02-27 01:32:45,226.61
2024-02-27 01:33:00,226.61
2024-02-27 01:33:15,219.85
2024-02-27 01:33:30,219.85
2024-02-27 01:33:45,219.85
2024-02-27 01:34:00,219.85
