"Time","by-dependencies"
2024-02-27 01:23:00,25550848
2024-02-27 01:23:30,28647424
2024-02-27 01:24:00,43405312
2024-02-27 01:24:30,45490176
2024-02-27 01:25:00,79036416
2024-02-27 01:25:30,78954496
2024-02-27 01:26:00,119611392
2024-02-27 01:26:30,119713792
2024-02-27 01:27:00,158199808
2024-02-27 01:27:30,163307520
2024-02-27 01:28:00,219414528
2024-02-27 01:28:30,219680768
2024-02-27 01:29:00,257986560
2024-02-27 01:29:30,262967296
2024-02-27 01:30:00,293974016
2024-02-27 01:30:30,318218240
2024-02-27 01:31:00,339963904
2024-02-27 01:31:30,343318528
2024-02-27 01:32:00,380669952
2024-02-27 01:32:30,380190720
2024-02-27 01:33:00,447946752
