"Time","receive - all-in-one","transmit - all-in-one"
2024-02-27 02:55:30,212433,-209708
2024-02-27 02:56:00,3903653,-5157551
2024-02-27 02:56:30,9251182,-11825643
2024-02-27 02:57:00,11026168,-14097378
2024-02-27 02:57:30,12202765,-15561374
2024-02-27 02:58:00,16977045,-21502777
2024-02-27 02:58:30,16954824,-21236792
2024-02-27 02:59:00,17420528,-21806869
2024-02-27 02:59:30,17481528,-21903529
2024-02-27 03:00:00,15917580,-20100504
2024-02-27 03:00:30,15836042,-19792271
2024-02-27 03:01:00,14280284,-17949583
2024-02-27 03:01:30,13808324,-17187103
2024-02-27 03:02:00,13461196,-17030644
2024-02-27 03:02:30,13767875,-17162298
2024-02-27 03:03:00,13072940,-16020167
2024-02-27 03:03:30,13667255,-17194291
2024-02-27 03:04:00,14112377,-17740463
2024-02-27 03:04:30,13715071,-17221409
2024-02-27 03:05:00,13088079,-16222086
2024-02-27 03:05:30,13385096,-17013524
