Method,Name,Error,Occurrences
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,"""ConnectionRefusedError(111, 'Connection refused')""",1
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,"""HTTPParseError('Incomplete response.')""",12
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,"""ConnectionRefusedError(111, 'Connection refused')""",1
DELETE,/cart,"""gaierror(-2, 'Name or service not known')""",9
GET,/basket.html,"""ConnectionRefusedError(111, 'Connection refused')""",111
GET,/login,"""ConnectionRefusedError(111, 'Connection refused')""",398
POST,/cart,"""gaierror(-2, 'Name or service not known')""",2
DELETE,/cart,"""BadStatusCode('http://front-end.by-dependencies/cart', code=500)""",2
POST,/cart,"""ConnectionRefusedError(111, 'Connection refused')""",652
POST,/orders,"""RetriesExceeded('http://front-end.by-dependencies/orders', 1, original=timed out)""",3079
GET,/,"""ConnectionRefusedError(111, 'Connection refused')""",49
POST,/cart,"""BadStatusCode('http://front-end.by-dependencies/cart', code=500)""",130
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,"""ConnectionRefusedError(111, 'Connection refused')""",1
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,"""HTTPParseError('Incomplete response.')""",8
GET,/login,"""gaierror(-2, 'Name or service not known')""",1
GET,/basket.html,"""gaierror(-2, 'Name or service not known')""",3
DELETE,/cart,"""ConnectionRefusedError(111, 'Connection refused')""",449
GET,/category.html,"""HTTPParseError('Incomplete response.')""",1
GET,/login,"""HTTPParseError('Incomplete response.')""",1
GET,/,"""gaierror(-2, 'Name or service not known')""",2
GET,/category.html,"""gaierror(-2, 'Name or service not known')""",2
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,"""ConnectionRefusedError(111, 'Connection refused')""",2
POST,/orders,"""ConnectionResetError(104, 'Connection reset by peer')""",2
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,"""HTTPParseError('Incomplete response.')""",11
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,"""HTTPParseError('Incomplete response.')""",7
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,"""HTTPParseError('Incomplete response.')""",9
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,"""HTTPParseError('Incomplete response.')""",16
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,"""HTTPParseError('Incomplete response.')""",7
GET,/category.html,"""ConnectionRefusedError(111, 'Connection refused')""",61
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,"""ConnectionRefusedError(111, 'Connection refused')""",1
DELETE,/cart,"""ConnectionResetError(104, 'Connection reset by peer')""",1
GET,/,"""HTTPParseError('Incomplete response.')""",1
GET,/login,"""ConnectionResetError(104, 'Connection reset by peer')""",2
POST,/cart,"""ConnectionResetError(104, 'Connection reset by peer')""",1
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,"""HTTPParseError('Incomplete response.')""",12
POST,/orders,"""ConnectionRefusedError(111, 'Connection refused')""",1716
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,"""ConnectionRefusedError(111, 'Connection refused')""",1
POST,/orders,"""HTTPParseError('Incomplete response.')""",4
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,"""HTTPParseError('Incomplete response.')""",16
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,"""ConnectionRefusedError(111, 'Connection refused')""",1
