"Time","by-stack - bystackgo","by-stack - bystackjvm","by-stack - bystacknode","by-stack - carts-db","by-stack - catalogue-db","by-stack - orders-db","by-stack - rabbitmq","by-stack - rabbitmq-exporter","by-stack - session-db","by-stack - user-db"
2024-02-26 23:17:30,1,1,1,1,1,1,1,1,1,1
2024-02-26 23:17:45,1,1,1,1,1,1,1,1,1,1
2024-02-26 23:18:00,1,1,1,1,1,1,1,1,1,1
2024-02-26 23:18:15,1,1,1,1,1,1,1,1,1,1
2024-02-26 23:18:30,1,1,1,1,1,1,1,1,1,1
2024-02-26 23:18:45,2,1,1,1,1,1,1,1,1,1
2024-02-26 23:19:00,2,1,1,1,1,1,1,1,1,1
2024-02-26 23:19:15,2,1,2,1,1,1,1,1,1,1
2024-02-26 23:19:30,2,1,2,1,1,1,1,1,1,1
2024-02-26 23:19:45,2,1,2,1,1,1,1,1,1,1
2024-02-26 23:20:00,2,2,2,1,1,1,1,1,1,1
2024-02-26 23:20:15,2,2,2,1,1,1,1,1,1,1
2024-02-26 23:20:30,2,2,2,1,1,1,1,1,1,1
2024-02-26 23:20:45,3,2,2,1,1,1,1,1,1,1
2024-02-26 23:21:00,3,2,2,1,1,1,1,1,1,1
2024-02-26 23:21:15,3,2,2,1,1,1,1,1,1,1
2024-02-26 23:21:30,3,2,2,1,1,1,1,1,1,1
2024-02-26 23:21:45,3,2,2,1,1,1,1,1,1,1
2024-02-26 23:22:00,3,2,2,1,1,1,1,1,1,1
2024-02-26 23:22:15,3,2,2,1,1,1,1,1,1,1
2024-02-26 23:22:30,3,2,2,1,1,1,1,1,1,1
2024-02-26 23:22:45,3,2,2,1,1,1,1,1,1,1
2024-02-26 23:23:00,3,2,2,1,1,1,1,1,1,1
2024-02-26 23:23:15,3,2,2,1,1,1,1,1,1,1
2024-02-26 23:23:30,3,2,2,1,1,1,1,1,1,1
2024-02-26 23:23:45,3,2,2,1,1,1,1,1,1,1
2024-02-26 23:24:00,3,2,2,1,1,1,1,1,1,1
2024-02-26 23:24:15,3,2,2,1,1,1,1,1,1,1
2024-02-26 23:24:30,3,2,2,1,1,1,1,1,1,1
2024-02-26 23:24:45,3,2,2,1,1,1,1,1,1,1
2024-02-26 23:25:00,3,2,2,1,1,1,1,1,1,1
2024-02-26 23:25:15,3,2,2,1,1,1,1,1,1,1
2024-02-26 23:25:30,3,2,2,1,1,1,1,1,1,1
2024-02-26 23:25:45,3,2,2,1,1,1,1,1,1,1
2024-02-26 23:26:00,2,2,2,1,1,1,1,1,1,1
2024-02-26 23:26:15,2,2,2,1,1,1,1,1,1,1
2024-02-26 23:26:30,2,2,2,1,1,1,1,1,1,1
2024-02-26 23:26:45,2,2,2,1,1,1,1,1,1,1
2024-02-26 23:27:00,2,2,2,1,1,1,1,1,1,1
2024-02-26 23:27:15,2,2,2,1,1,1,1,1,1,1
2024-02-26 23:27:30,2,2,2,1,1,1,1,1,1,1
