"Time","all-in-one"
2024-02-26 22:08:30,0.0521
2024-02-26 22:09:00,2.19
2024-02-26 22:09:30,4.43
2024-02-26 22:10:00,5.44
2024-02-26 22:10:30,5.35
2024-02-26 22:11:00,5.11
2024-02-26 22:11:30,5.69
2024-02-26 22:12:00,6.25
2024-02-26 22:12:30,6.02
2024-02-26 22:13:00,6.03
2024-02-26 22:13:30,5.84
2024-02-26 22:14:00,4.81
2024-02-26 22:14:30,5.83
2024-02-26 22:15:00,5.91
2024-02-26 22:15:30,5.91
2024-02-26 22:16:00,5.96
2024-02-26 22:16:30,5.48
2024-02-26 22:17:00,5.88
2024-02-26 22:17:30,5.89
2024-02-26 22:18:00,5.86
2024-02-26 22:18:30,4.92
