"Time","receive - by-stack","transmit - by-stack"
2024-02-26 22:19:30,19452,-30038
2024-02-26 22:20:00,3756257,-4517762
2024-02-26 22:20:30,8965060,-10694118
2024-02-26 22:21:00,10240909,-12342612
2024-02-26 22:21:30,16128160,-19125019
2024-02-26 22:22:00,18521874,-21974022
2024-02-26 22:22:30,14908497,-17900511
2024-02-26 22:23:00,16235723,-19483964
2024-02-26 22:23:30,18502066,-22262029
2024-02-26 22:24:00,22646735,-27242026
2024-02-26 22:24:30,26163931,-31243770
2024-02-26 22:25:00,23761151,-27515750
2024-02-26 22:25:30,23763906,-27168102
2024-02-26 22:26:00,25777944,-30853096
2024-02-26 22:26:30,26118635,-31355274
2024-02-26 22:27:00,26881168,-32195245
2024-02-26 22:27:30,28574489,-33825155
2024-02-26 22:28:00,29579639,-35239984
2024-02-26 22:28:30,27887216,-33550837
2024-02-26 22:29:00,29370438,-35039394
2024-02-26 22:29:30,28220112,-33253032
