Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,44459,0,130,149.3459142130952,1,562,8688.0,73.97097289212951,0.0,130,190,220,240,270,300,330,360,420,500,560
GET,/basket.html,44258,0,120,129.35988973744858,1,638,23020.0,73.63654869115068,0.0,120,180,210,220,260,290,330,360,450,540,640
DELETE,/cart,44164,0,280,320.1499637713975,10,3029,0.0,73.48015130362823,0.0,280,370,420,460,600,780,1100,1300,2000,2700,3000
POST,/cart,44264,15,680,748.7686607626965,35,4633,0.021688053497198625,73.6465315031202,0.02495702992379367,680,860,1000,1100,1400,1700,2100,2300,3300,4200,4600
GET,/category.html,44397,0,100,118.35842511881434,0,527,11518.0,73.8678171684445,0.0,100,160,190,210,240,280,310,330,400,480,530
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,4915,0,100,120.75829094608342,1,482,10364.0,8.177586805029726,0.0,100,170,200,220,260,290,330,350,420,480,480
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,4977,0,100,122.90938316254773,1,470,10364.0,8.28074252871474,0.0,100,180,210,220,260,300,330,350,430,470,470
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,4965,0,98,120.3250755287009,1,484,10364.0,8.260776904775705,0.0,98,160,200,220,260,290,330,350,420,480,480
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,4944,0,99,120.6383495145631,1,485,10364.0,8.225837062882393,0.0,99,170,200,220,260,290,330,350,410,480,480
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,5063,0,100,122.59589176377642,1,485,10364.0,8.423829500277822,0.0,100,170,210,220,260,290,330,350,410,480,480
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,4896,0,100,122.20098039215686,1,474,10364.0,8.145974567126254,0.0,100,170,200,220,260,290,330,350,430,470,470
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,4826,0,98,121.81827600497306,1,452,10364.0,8.029508427481883,0.0,98,170,200,220,260,290,330,360,430,450,450
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,4861,0,110,123.62600288006583,1,550,10364.0,8.087741497304068,0.0,110,170,200,220,260,290,330,360,460,550,550
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,4920,0,100,121.36382113821138,1,502,10364.0,8.185905815004324,0.0,100,170,200,220,260,280,320,350,440,500,500
GET,/login,44413,0,570,620.0805169657533,41,4043,12.997951050368135,73.89443800036321,0.0,570,720,800,860,1100,1400,1800,2000,2700,3200,4000
POST,/orders,44192,0,840,833.4780276973207,65,9025,607.9608073859522,73.52673775948598,0.0,840,1000,1100,1200,1400,1500,1800,2100,6400,8900,9000
,Aggregated,354514,15,230,379.8977811877669,0,9025,6780.291971544142,589.8411004269193,0.02495702992379367,230,340,510,660,990,1200,1600,1800,2800,8100,9000
