"Time","receive - by-dependencies","transmit - by-dependencies"
2024-02-27 00:25:30,18862,-30082
2024-02-27 00:26:00,6448400,-8103917
2024-02-27 00:26:30,13213325,-16002631
2024-02-27 00:27:00,12200443,-14303826
2024-02-27 00:27:30,14167556,-17150110
2024-02-27 00:28:00,16481005,-19917676
2024-02-27 00:28:30,15066608,-18095898
2024-02-27 00:29:00,13001751,-15446792
2024-02-27 00:29:30,10273676,-12561784
2024-02-27 00:30:00,10284450,-12414918
2024-02-27 00:30:30,13486100,-16433517
2024-02-27 00:31:00,14317090,-17233599
2024-02-27 00:31:30,13306705,-15887537
2024-02-27 00:32:00,11954658,-14052572
2024-02-27 00:32:30,12313635,-14877657
2024-02-27 00:33:00,8805897,-10770419
2024-02-27 00:33:30,8930188,-10783549
2024-02-27 00:34:00,10202097,-12185643
2024-02-27 00:34:30,11054151,-12878648
2024-02-27 00:35:00,11074474,-13276784
2024-02-27 00:35:30,11403392,-13457795
