"Time","all-in-one"
2024-02-27 03:53:00,1
2024-02-27 03:53:15,1
2024-02-27 03:53:30,1
2024-02-27 03:53:45,1
2024-02-27 03:54:00,2
2024-02-27 03:54:15,2
2024-02-27 03:54:30,2
2024-02-27 03:54:45,2
2024-02-27 03:55:00,2
2024-02-27 03:55:15,2
2024-02-27 03:55:30,2
2024-02-27 03:55:45,2
2024-02-27 03:56:00,2
2024-02-27 03:56:15,2
2024-02-27 03:56:30,2
2024-02-27 03:56:45,2
2024-02-27 03:57:00,2
2024-02-27 03:57:15,2
2024-02-27 03:57:30,2
2024-02-27 03:57:45,2
2024-02-27 03:58:00,2
2024-02-27 03:58:15,2
2024-02-27 03:58:30,2
2024-02-27 03:58:45,2
2024-02-27 03:59:00,2
2024-02-27 03:59:15,2
2024-02-27 03:59:30,2
2024-02-27 03:59:45,2
2024-02-27 04:00:00,2
2024-02-27 04:00:15,2
2024-02-27 04:00:30,2
2024-02-27 04:00:45,2
2024-02-27 04:01:00,2
2024-02-27 04:01:15,2
2024-02-27 04:01:30,2
2024-02-27 04:01:45,2
2024-02-27 04:02:00,2
2024-02-27 04:02:15,2
2024-02-27 04:02:30,2
2024-02-27 04:02:45,2
2024-02-27 04:03:00,2
