"Time","by-dependencies"
2024-02-27 04:15:00,2283114496
2024-02-27 04:15:30,2481582080
2024-02-27 04:16:00,3189518336
2024-02-27 04:16:30,3637280768
2024-02-27 04:17:00,3733303296
2024-02-27 04:17:30,3845824512
2024-02-27 04:18:00,3994275840
2024-02-27 04:18:30,4094976000
2024-02-27 04:19:00,4166279168
2024-02-27 04:19:30,4215558144
2024-02-27 04:20:00,4525162496
2024-02-27 04:20:30,4656926720
2024-02-27 04:21:00,4771958784
2024-02-27 04:21:30,4857815040
2024-02-27 04:22:00,4859076608
2024-02-27 04:22:30,4901711872
2024-02-27 04:23:00,4886720512
2024-02-27 04:23:30,4924530688
2024-02-27 04:24:00,4933074944
2024-02-27 04:24:30,4944150528
2024-02-27 04:25:00,4946903040
