"Time","Total Cost"
2024-02-27 05:49:00,67.31
2024-02-27 05:49:15,151.81
2024-02-27 05:49:30,151.81
2024-02-27 05:49:45,151.81
2024-02-27 05:50:00,151.81
2024-02-27 05:50:15,150.16
2024-02-27 05:50:30,150.16
2024-02-27 05:50:45,150.16
2024-02-27 05:51:00,150.16
2024-02-27 05:51:15,194.34
2024-02-27 05:51:30,194.34
2024-02-27 05:51:45,194.34
2024-02-27 05:52:00,194.34
2024-02-27 05:52:15,201.12
2024-02-27 05:52:30,201.12
2024-02-27 05:52:45,201.12
2024-02-27 05:53:00,201.12
2024-02-27 05:53:15,211.59
2024-02-27 05:53:30,211.59
2024-02-27 05:53:45,211.59
2024-02-27 05:54:00,211.59
2024-02-27 05:54:15,204.43
2024-02-27 05:54:30,204.43
2024-02-27 05:54:45,204.43
2024-02-27 05:55:00,204.43
2024-02-27 05:55:15,207.38
2024-02-27 05:55:30,207.38
2024-02-27 05:55:45,207.38
2024-02-27 05:56:00,207.38
2024-02-27 05:56:15,210.44
2024-02-27 05:56:30,210.44
2024-02-27 05:56:45,210.44
2024-02-27 05:57:00,210.44
2024-02-27 05:57:15,210.46
2024-02-27 05:57:30,210.46
2024-02-27 05:57:45,210.46
2024-02-27 05:58:00,210.46
2024-02-27 05:58:15,210.30
2024-02-27 05:58:30,210.30
2024-02-27 05:58:45,210.30
2024-02-27 05:59:00,210.30
