"Time","by-dependencies - by-dependencies","by-dependencies - carts","by-dependencies - carts-db","by-dependencies - catalogue","by-dependencies - catalogue-db","by-dependencies - front-end","by-dependencies - orders-db","by-dependencies - queue-master","by-dependencies - rabbitmq","by-dependencies - rabbitmq-exporter","by-dependencies - session-db","by-dependencies - user","by-dependencies - user-db"
2024-02-27 06:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:10:15,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:10:30,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:10:45,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:11:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:11:15,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:11:30,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:11:45,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:12:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:12:15,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:12:30,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:12:45,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:13:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:13:15,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:13:30,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:13:45,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:14:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:14:15,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:14:30,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:14:45,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:15:15,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:15:30,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:15:45,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:16:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:16:15,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:16:30,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:16:45,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:17:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:17:15,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:17:30,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27 06:17:45,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-02-27 06:18:00,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-02-27 06:18:15,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-02-27 06:18:30,0,0,0,0,0,2,0,0,0,0,0,0,0
2024-02-27 06:18:45,0,0,0,0,0,2,0,0,0,0,0,0,0
2024-02-27 06:19:00,0,0,0,0,0,2,0,0,0,0,0,0,0
2024-02-27 06:19:15,0,0,0,0,0,2,0,0,0,0,0,0,0
2024-02-27 06:19:30,0,0,0,0,0,2,0,0,0,0,0,0,0
2024-02-27 06:19:45,0,0,0,0,0,2,0,0,0,0,0,0,0
2024-02-27 06:20:00,0,0,0,0,0,2,0,0,0,0,0,0,0
