Method,Name,Error,Occurrences
POST,/orders,"""gaierror(-2, 'Name or service not known')""",22
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,"""ConnectionRefusedError(111, 'Connection refused')""",4
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,"""HTTPParseError('Incomplete response.')""",2
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,"""ConnectionRefusedError(111, 'Connection refused')""",1
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,"""ConnectionResetError(104, 'Connection reset by peer')""",1
DELETE,/cart,"""gaierror(-2, 'Name or service not known')""",36
GET,/basket.html,"""HTTPParseError('Incomplete response.')""",125
GET,/basket.html,"""ConnectionRefusedError(111, 'Connection refused')""",51
GET,/login,"""ConnectionRefusedError(111, 'Connection refused')""",241
POST,/cart,"""gaierror(-2, 'Name or service not known')""",3
POST,/cart,"""ConnectionRefusedError(111, 'Connection refused')""",238
GET,/,"""ConnectionRefusedError(111, 'Connection refused')""",55
POST,/orders,"""BadStatusCode('http://by-stack-node.by-stack/orders', code=500)""",175
POST,/cart,"""BadStatusCode('http://by-stack-node.by-stack/cart', code=500)""",59
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,"""HTTPParseError('Incomplete response.')""",2
GET,/login,"""gaierror(-2, 'Name or service not known')""",3
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,"""gaierror(-2, 'Name or service not known')""",1
GET,/basket.html,"""gaierror(-2, 'Name or service not known')""",3
DELETE,/cart,"""ConnectionRefusedError(111, 'Connection refused')""",570
GET,/category.html,"""HTTPParseError('Incomplete response.')""",66
GET,/login,"""HTTPParseError('Incomplete response.')""",17
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,"""ConnectionRefusedError(111, 'Connection refused')""",1
GET,/,"""ConnectionResetError(104, 'Connection reset by peer')""",2
GET,/,"""gaierror(-2, 'Name or service not known')""",12
GET,/category.html,"""ConnectionResetError(104, 'Connection reset by peer')""",1
GET,/category.html,"""gaierror(-2, 'Name or service not known')""",2
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,"""ConnectionRefusedError(111, 'Connection refused')""",1
POST,/orders,"""ConnectionResetError(104, 'Connection reset by peer')""",24
POST,/orders,"""RetriesExceeded('http://by-stack-node.by-stack/orders', 1, original=timed out)""",1551
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,"""HTTPParseError('Incomplete response.')""",1
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,"""HTTPParseError('Incomplete response.')""",1
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,"""HTTPParseError('Incomplete response.')""",1
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,"""HTTPParseError('Incomplete response.')""",3
GET,/category.html,"""ConnectionRefusedError(111, 'Connection refused')""",54
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,"""ConnectionRefusedError(111, 'Connection refused')""",3
DELETE,/cart,"""ConnectionResetError(104, 'Connection reset by peer')""",2
GET,/,"""HTTPParseError('Incomplete response.')""",21
GET,/login,"""ConnectionResetError(104, 'Connection reset by peer')""",6
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,"""gaierror(-2, 'Name or service not known')""",1
POST,/cart,"""ConnectionResetError(104, 'Connection reset by peer')""",2
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,"""HTTPParseError('Incomplete response.')""",2
POST,/orders,"""ConnectionRefusedError(111, 'Connection refused')""",1992
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,"""ConnectionRefusedError(111, 'Connection refused')""",2
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,"""ConnectionRefusedError(111, 'Connection refused')""",2
POST,/orders,"""HTTPParseError('Incomplete response.')""",48
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,"""HTTPParseError('Incomplete response.')""",1
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,"""ConnectionRefusedError(111, 'Connection refused')""",1
