"Time","all-in-one - allinone","all-in-one - carts-db","all-in-one - catalogue-db","all-in-one - orders-db","all-in-one - rabbitmq","all-in-one - rabbitmq-exporter","all-in-one - session-db","all-in-one - user-db"
2024-01-19 20:57:15,1,1,1,1,1,1,1,1
2024-01-19 20:57:30,1,1,1,1,1,1,1,1
2024-01-19 20:57:45,1,1,1,1,1,1,1,1
2024-01-19 20:58:00,1,1,1,1,1,1,1,1
2024-01-19 20:58:15,1,1,1,1,1,1,1,1
2024-01-19 20:58:30,1,1,1,1,1,1,1,1
2024-01-19 20:58:45,2,1,1,1,1,1,1,1
2024-01-19 20:59:00,2,1,1,1,1,1,1,1
2024-01-19 20:59:15,2,1,1,1,1,1,1,1
2024-01-19 20:59:30,2,1,1,1,1,1,1,1
2024-01-19 20:59:45,2,1,1,1,1,1,1,1
2024-01-19 21:00:00,2,1,1,1,1,1,1,1
2024-01-19 21:00:15,2,1,1,1,1,1,1,1
2024-01-19 21:00:30,2,1,1,1,1,1,1,1
2024-01-19 21:00:45,2,1,1,1,1,1,1,1
2024-01-19 21:01:00,2,1,1,1,1,1,1,1
2024-01-19 21:01:15,2,1,1,1,1,1,1,1
2024-01-19 21:01:30,2,1,1,1,1,1,1,1
2024-01-19 21:01:45,2,1,1,1,1,1,1,1
2024-01-19 21:02:00,2,1,1,1,1,1,1,1
2024-01-19 21:02:15,2,1,1,1,1,1,1,1
2024-01-19 21:02:30,2,1,1,1,1,1,1,1
2024-01-19 21:02:45,2,1,1,1,1,1,1,1
2024-01-19 21:03:00,2,1,1,1,1,1,1,1
2024-01-19 21:03:15,2,1,1,1,1,1,1,1
2024-01-19 21:03:30,2,1,1,1,1,1,1,1
2024-01-19 21:03:45,2,1,1,1,1,1,1,1
2024-01-19 21:04:00,2,1,1,1,1,1,1,1
2024-01-19 21:04:15,2,1,1,1,1,1,1,1
2024-01-19 21:04:30,2,1,1,1,1,1,1,1
2024-01-19 21:04:45,2,1,1,1,1,1,1,1
2024-01-19 21:05:00,2,1,1,1,1,1,1,1
2024-01-19 21:05:15,2,1,1,1,1,1,1,1
2024-01-19 21:05:30,2,1,1,1,1,1,1,1
2024-01-19 21:05:45,2,1,1,1,1,1,1,1
2024-01-19 21:06:00,2,1,1,1,1,1,1,1
2024-01-19 21:06:15,2,1,1,1,1,1,1,1
2024-01-19 21:06:30,2,1,1,1,1,1,1,1
2024-01-19 21:06:45,2,1,1,1,1,1,1,1
2024-01-19 21:07:00,2,1,1,1,1,1,1,1
2024-01-19 21:07:15,2,1,1,1,1,1,1,1
