"Time","by-dependencies - by-dependencies"
2024-01-19 21:19:15,1
2024-01-19 21:19:30,1
2024-01-19 21:19:45,1
2024-01-19 21:20:00,1
2024-01-19 21:20:15,1
2024-01-19 21:20:30,1
2024-01-19 21:20:45,1
2024-01-19 21:21:00,1
2024-01-19 21:21:15,1
2024-01-19 21:21:30,1
2024-01-19 21:21:45,1
2024-01-19 21:22:00,2
2024-01-19 21:22:15,2
2024-01-19 21:22:30,2
2024-01-19 21:22:45,2
2024-01-19 21:23:00,2
2024-01-19 21:23:15,2
2024-01-19 21:23:30,2
2024-01-19 21:23:45,2
2024-01-19 21:24:00,2
2024-01-19 21:24:15,2
2024-01-19 21:24:30,2
2024-01-19 21:24:45,3
2024-01-19 21:25:00,3
2024-01-19 21:25:15,3
2024-01-19 21:25:30,3
2024-01-19 21:25:45,3
2024-01-19 21:26:00,3
2024-01-19 21:26:15,3
2024-01-19 21:26:30,3
2024-01-19 21:26:45,3
2024-01-19 21:27:00,3
2024-01-19 21:27:15,3
2024-01-19 21:27:30,3
2024-01-19 21:27:45,3
2024-01-19 21:28:00,3
2024-01-19 21:28:15,4
2024-01-19 21:28:30,4
2024-01-19 21:28:45,4
2024-01-19 21:29:00,4
2024-01-19 21:29:15,4
