"Time","by-dependencies - by-dependencies"
2024-01-19 21:19:15,0
2024-01-19 21:19:30,0
2024-01-19 21:19:45,0
2024-01-19 21:20:00,0
2024-01-19 21:20:15,0
2024-01-19 21:20:30,0
2024-01-19 21:20:45,0
2024-01-19 21:21:00,0
2024-01-19 21:21:15,0
2024-01-19 21:21:30,0
2024-01-19 21:21:45,0
2024-01-19 21:22:00,0
2024-01-19 21:22:15,0
2024-01-19 21:22:30,0
2024-01-19 21:22:45,0
2024-01-19 21:23:00,0
2024-01-19 21:23:15,0
2024-01-19 21:23:30,0
2024-01-19 21:23:45,0
2024-01-19 21:24:00,0
2024-01-19 21:24:15,0
2024-01-19 21:24:30,0
2024-01-19 21:24:45,0
2024-01-19 21:25:00,0
2024-01-19 21:25:15,0
2024-01-19 21:25:30,0
2024-01-19 21:25:45,0
2024-01-19 21:26:00,0
2024-01-19 21:26:15,0
2024-01-19 21:26:30,0
2024-01-19 21:26:45,0
2024-01-19 21:27:00,0
2024-01-19 21:27:15,0
2024-01-19 21:27:30,0
2024-01-19 21:27:45,0
2024-01-19 21:28:00,0
2024-01-19 21:28:15,0
2024-01-19 21:28:30,0
2024-01-19 21:28:45,0
2024-01-19 21:29:00,0
2024-01-19 21:29:15,0
