Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,31009,0,55,86.71930729788126,2,782,8688.0,51.67642631677007,0.0,55,68,83,98,180,290,410,480,610,710,780
GET,/basket.html,29676,0,15,53.783326593880574,2,899,23020.0,49.45498491974809,0.0,15,31,53,67,160,270,410,480,640,790,900
DELETE,/cart,28609,0,5700,7153.114509420113,9,30337,0.0,47.6768319035272,0.0,5700,9000,12000,14000,16000,19000,23000,24000,27000,29000,30000
POST,/cart,29676,68,8900,10194.714786359347,39,39209,0.14665049198005123,49.45498491974809,0.11332184170854799,8900,13000,16000,17000,21000,24000,28000,29000,34000,38000,39000
GET,/category.html,30414,0,14,48.06681133688433,2,930,11518.0,50.68486020182028,0.0,14,29,45,59,130,240,370,460,590,760,930
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,3390,0,11,46.60353982300885,2,677,10364.0,5.649427108705555,0.0,11,21,36,50,140,260,390,470,600,680,680
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,3524,0,10,43.57009080590238,2,798,10364.0,5.8727377967782814,0.0,10,19,31,46,120,240,370,440,650,800,800
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,3345,0,10,44.88281016442451,2,640,10364.0,5.574434713457251,0.0,10,19,34,50,130,250,390,470,580,640,640
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,3472,0,11,45.615207373271886,2,681,10364.0,5.786079917824686,0.0,11,21,34,50,130,250,380,450,630,680,680
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,3261,0,10,45.39221097822754,2,737,10364.0,5.43444890899375,0.0,10,21,36,55,140,240,360,440,540,740,740
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,3341,0,10,44.013469021251126,2,674,10364.0,5.567768722768513,0.0,10,20,33,49,120,240,380,450,600,670,670
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,3418,0,11,45.899063779988296,2,605,10364.0,5.6960890435267215,0.0,11,22,36,52,130,240,380,500,590,600,600
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,3311,0,11,47.457867713681665,2,642,10364.0,5.517773792602977,0.0,11,21,35,53,150,260,390,480,600,640,640
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,3352,0,11,46.23329355608592,2,683,10364.0,5.586100197162542,0.0,11,22,36,54,140,240,370,450,600,680,680
GET,/login,30416,0,6900,8358.842977380325,16,33243,12.995725933719095,50.688193197164644,0.0,6900,10000,13000,15000,18000,21000,24000,26000,30000,32000,33000
POST,/orders,29156,1,8300,9946.007648511455,89,34678,608.0207504458773,48.588406130212135,0.0016664976721845295,8300,12000,15000,17000,21000,25000,28000,29000,32000,34000,35000
,Aggregated,239370,69,250,4422.197150854326,2,39209,6835.417734051886,398.9095477908108,0.11498833938073252,250,3700,7300,9400,15000,19000,23000,26000,31000,35000,39000
