"Time","by-dependencies"
2024-01-19 16:32:00,0.0568
2024-01-19 16:32:30,1.92
2024-01-19 16:33:00,3.93
2024-01-19 16:33:30,5.04
2024-01-19 16:34:00,4.44
2024-01-19 16:34:30,3.96
2024-01-19 16:35:00,4.25
2024-01-19 16:35:30,3.41
2024-01-19 16:36:00,3.94
2024-01-19 16:36:30,4.36
2024-01-19 16:37:00,4.85
2024-01-19 16:37:30,4.85
2024-01-19 16:38:00,4.93
2024-01-19 16:38:30,4.76
2024-01-19 16:39:00,5.22
2024-01-19 16:39:30,5.31
2024-01-19 16:40:00,5.30
2024-01-19 16:40:30,4.90
2024-01-19 16:41:00,5.48
2024-01-19 16:41:30,4.98
2024-01-19 16:42:00,5.10
