"Time","by-stack"
2024-01-19 16:21:00,0.226
2024-01-19 16:21:30,2.39
2024-01-19 16:22:00,4.34
2024-01-19 16:22:30,4.50
2024-01-19 16:23:00,3.73
2024-01-19 16:23:30,3.56
2024-01-19 16:24:00,3.55
2024-01-19 16:24:30,4.39
2024-01-19 16:25:00,4.78
2024-01-19 16:25:30,5.10
2024-01-19 16:26:00,5.25
2024-01-19 16:26:30,5.26
2024-01-19 16:27:00,5.18
2024-01-19 16:27:30,5.23
2024-01-19 16:28:00,5.19
2024-01-19 16:28:30,5.56
2024-01-19 16:29:00,5.55
2024-01-19 16:29:30,5.38
2024-01-19 16:30:00,5.36
2024-01-19 16:30:30,5.31
2024-01-19 16:31:00,4.90
