"Time","by-dependencies - by-dependencies","by-dependencies - carts","by-dependencies - carts-db","by-dependencies - catalogue","by-dependencies - catalogue-db","by-dependencies - front-end","by-dependencies - orders-db","by-dependencies - queue-master","by-dependencies - rabbitmq","by-dependencies - rabbitmq-exporter","by-dependencies - session-db","by-dependencies - user","by-dependencies - user-db"
2024-01-20 02:06:45,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-20 02:07:00,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-20 02:07:15,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-20 02:07:30,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-20 02:07:45,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-20 02:08:00,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-20 02:08:15,1,1,1,1,1,1,1,1,1,1,1,2,1
2024-01-20 02:08:30,1,1,1,1,1,2,1,1,1,1,1,2,1
2024-01-20 02:08:45,1,2,1,1,1,2,1,1,1,1,1,2,1
2024-01-20 02:09:00,1,2,1,1,1,2,1,1,1,1,1,2,1
2024-01-20 02:09:15,1,2,1,1,1,2,1,1,1,1,1,2,1
2024-01-20 02:09:30,1,2,1,1,1,2,1,1,1,1,1,2,1
2024-01-20 02:09:45,2,2,1,1,1,2,1,2,1,1,1,2,1
2024-01-20 02:10:00,2,2,1,1,1,2,1,2,1,1,1,2,1
2024-01-20 02:10:15,2,2,1,2,1,2,1,2,1,1,1,2,1
2024-01-20 02:10:30,2,3,1,2,1,2,1,2,1,1,1,2,1
2024-01-20 02:10:45,2,3,1,2,1,2,1,2,1,1,1,2,1
2024-01-20 02:11:00,2,3,1,2,1,2,1,2,1,1,1,2,1
2024-01-20 02:11:15,2,3,1,2,1,2,1,2,1,1,1,2,1
2024-01-20 02:11:30,2,3,1,2,1,2,1,2,1,1,1,2,1
2024-01-20 02:11:45,2,3,1,2,1,2,1,2,1,1,1,2,1
2024-01-20 02:12:00,2,3,1,2,1,2,1,2,1,1,1,2,1
2024-01-20 02:12:15,2,4,1,2,1,2,1,2,1,1,1,2,1
2024-01-20 02:12:30,2,4,1,2,1,2,1,2,1,1,1,2,1
2024-01-20 02:12:45,3,4,1,2,1,2,1,2,1,1,1,2,1
2024-01-20 02:13:00,3,4,1,2,1,2,1,2,1,1,1,2,1
2024-01-20 02:13:15,3,4,1,2,1,2,1,2,1,1,1,2,1
2024-01-20 02:13:30,3,4,1,2,1,2,1,2,1,1,1,2,1
2024-01-20 02:13:45,3,4,1,2,1,2,1,2,1,1,1,2,1
2024-01-20 02:14:00,3,4,1,2,1,2,1,2,1,1,1,2,1
2024-01-20 02:14:15,3,4,1,2,1,2,1,2,1,1,1,2,1
2024-01-20 02:14:30,3,4,1,2,1,2,1,2,1,1,1,2,1
2024-01-20 02:14:45,3,4,1,2,1,2,1,2,1,1,1,2,1
2024-01-20 02:15:00,3,4,1,1,1,0,1,2,1,1,1,2,1
2024-01-20 02:15:15,3,4,1,1,1,0,1,2,1,1,1,2,1
2024-01-20 02:15:30,3,4,1,1,1,0,1,2,1,1,1,2,1
2024-01-20 02:15:45,3,4,1,1,1,1,1,2,1,1,1,2,1
2024-01-20 02:16:00,3,4,1,1,1,2,1,2,1,1,1,2,1
2024-01-20 02:16:15,3,4,1,1,1,1,1,2,1,1,1,2,1
2024-01-20 02:16:30,3,4,1,1,1,1,1,2,1,1,1,2,1
2024-01-20 02:16:45,3,4,1,1,1,1,1,2,1,1,1,2,1
