"Time","by-stack"
2024-01-20 01:55:30,14897152
2024-01-20 01:56:00,17301504
2024-01-20 01:56:30,56537088
2024-01-20 01:57:00,64385024
2024-01-20 01:57:30,94986240
2024-01-20 01:58:00,99237888
2024-01-20 01:58:30,148512768
2024-01-20 01:59:00,154796032
2024-01-20 01:59:30,190529536
2024-01-20 02:00:00,194813952
2024-01-20 02:00:30,223182848
2024-01-20 02:01:00,248434688
2024-01-20 02:01:30,289443840
2024-01-20 02:02:00,311484416
2024-01-20 02:02:30,308948992
2024-01-20 02:03:00,322596864
2024-01-20 02:03:30,379428864
2024-01-20 02:04:00,419299328
2024-01-20 02:04:30,449568768
2024-01-20 02:05:00,452476928
2024-01-20 02:05:30,494542848
