"Time","by-stack"
2024-01-20 01:55:45,3
2024-01-20 01:56:00,3
2024-01-20 01:56:15,3
2024-01-20 01:56:30,5
2024-01-20 01:56:45,6
2024-01-20 01:57:00,6
2024-01-20 01:57:15,6
2024-01-20 01:57:30,6
2024-01-20 01:57:45,6
2024-01-20 01:58:00,6
2024-01-20 01:58:15,8
2024-01-20 01:58:30,8
2024-01-20 01:58:45,8
2024-01-20 01:59:00,8
2024-01-20 01:59:15,8
2024-01-20 01:59:30,9
2024-01-20 01:59:45,9
2024-01-20 02:00:00,9
2024-01-20 02:00:15,9
2024-01-20 02:00:30,9
2024-01-20 02:00:45,9
2024-01-20 02:01:00,9
2024-01-20 02:01:15,9
2024-01-20 02:01:30,9
2024-01-20 02:01:45,9
2024-01-20 02:02:00,9
2024-01-20 02:02:15,9
2024-01-20 02:02:30,9
2024-01-20 02:02:45,9
2024-01-20 02:03:00,9
2024-01-20 02:03:15,9
2024-01-20 02:03:30,9
2024-01-20 02:03:45,10
2024-01-20 02:04:00,9
2024-01-20 02:04:15,9
2024-01-20 02:04:30,9
2024-01-20 02:04:45,9
2024-01-20 02:05:00,9
2024-01-20 02:05:15,9
2024-01-20 02:05:30,9
2024-01-20 02:05:45,9
